Drift_field (V/cm);VGEM (V);p0;ep0;p1;ep1;p2;ep2;p3;ep3;chi2ndf
300;410;9.27e-03;3.59e-05;7.27e+05;9.47e+04;8.12e-07;4.79e-08;1.11e+06;5.20e+04;5.30
300;420;9.53e-03;2.88e-05;6.95e+05;6.34e+04;6.61e-07;3.31e-08;1.30e+06;5.12e+04;2.92
300;430;9.76e-03;2.12e-04;4.88e+05;1.46e+05;4.95e-07;3.68e-08;1.37e+06;5.53e+05;3.70
400;410;9.37e-03;2.92e-05;7.09e+05;6.72e+04;8.42e-07;4.26e-08;1.02e+06;4.04e+04;2.71
400;430;9.85e-03;3.16e-04;4.14e+05;1.73e+05;4.51e-07;4.58e-08;1.19e+06;9.01e+05;1.77
400;440;1.00e-02;1.94e-05;3.19e+05;1.93e+04;3.48e-07;2.48e-08;1.31e+06;6.35e+04;3.79
500;410;9.45e-03;4.15e-04;5.83e+05;3.21e+05;8.01e-07;5.84e-08;9.26e+05;6.41e+05;2.52
500;420;9.70e-03;2.56e-05;4.94e+05;4.03e+04;6.12e-07;3.91e-08;1.04e+06;4.74e+04;1.73
500;430;9.92e-03;2.61e-05;3.91e+05;2.96e+04;4.23e-07;3.69e-08;1.09e+06;6.88e+04;1.28
500;440;1.02e-02;2.77e-04;3.91e+05;1.41e+05;4.44e-07;6.77e-08;1.19e+06;8.03e+05;3.29
600;410;9.51e-03;2.75e-05;5.33e+05;4.70e+04;8.10e-07;4.81e-08;8.55e+05;3.88e+04;2.13
600;420;9.78e-03;1.48e-04;4.30e+05;8.87e+04;5.54e-07;5.91e-08;9.12e+05;3.31e+05;2.43
600;430;1.01e-02;2.91e-04;5.81e+05;2.31e+05;7.02e-07;1.10e-07;1.06e+06;5.24e+05;0.96
600;440;1.01e-02;2.43e-04;3.06e+05;7.36e+04;2.95e-07;8.47e-08;1.10e+06;9.80e+05;3.56
700;440;1.03e-02;5.09e-05;3.68e+05;4.63e+04;4.44e-07;9.79e-08;1.01e+06;1.41e+04;9.55
800;400;9.31e-03;1.38e-04;3.88e+05;8.50e+04;9.80e-07;8.20e-08;6.39e+05;1.68e+05;3.37
800;440;1.03e-02;3.15e-05;3.31e+05;1.77e+04;3.85e-07;4.50e-08;9.22e+05;6.72e+04;17.84
